,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
177,17,15,-12.49,-1.64,0.037,0.002,-0.003,13.940999999999999,33.442,1.309000000000001,7.118,valid
178,17,16,-20.07,-1.13,0.057,0.01,0.001,15.651,29.592,1.8190000000000008,10.797999999999998,valid
179,17,17,-23.44,-0.79,0.092,0.017,-0.003,11.441,27.092,5.1190000000000015,14.638000000000002,valid
180,17,18,-27.79,-0.6,0.081,0.002,-0.01,12.420999999999998,23.862,6.218999999999999,17.438,valid
181,17,19,-28.28,-0.48,0.05,-0.015,0.0,8.561000000000002,20.982,7.6190000000000015,19.328,valid
182,17,20,-30.78,-0.67,0.016,-0.001,0.0,10.571,19.132,8.109,21.368000000000002,valid
183,17,21,-29.5,-0.2,0.049,0.017,-0.001,6.790999999999999,17.362,9.649,23.458,valid
184,17,22,-30.27,-0.17,0.093,0.024,-0.004,8.841,15.631999999999998,10.289,25.727999999999998,valid
185,17,23,-28.4,-0.39,0.118,0.016,-0.009,6.200999999999999,15.041999999999998,11.728999999999997,27.857999999999997,valid
186,17,24,-28.25,-0.76,0.129,-0.002,-0.016,7.921000000000001,14.122,12.379,29.968,valid
187,17,25,-25.22,-0.95,0.118,-0.023,-0.008,5.040999999999999,12.962,13.609,31.487999999999996,valid
188,17,26,-23.9,-1.33,0.086,-0.025,-0.004,6.7509999999999994,11.791999999999998,14.008999999999999,33.108,valid
189,17,27,-20.32,-1.97,0.037,-0.014,-0.001,4.491000000000001,11.242,15.229,34.647999999999996,valid
190,17,28,-18.48,-2.89,0.011,-0.001,0.0,6.231,10.722000000000001,15.739,36.367999999999995,valid
191,17,29,-13.05,-2.59,0.033,0.011,-0.004,2.641,8.872,16.849,37.828,valid
192,17,30,-9.12,-2.36,0.044,-0.002,-0.004,4.140999999999998,6.781999999999998,17.189,39.30799999999999,valid
193,17,31,-2.97,-2.16,0.033,-0.011,-0.002,1.9210000000000012,6.061999999999999,18.299,40.647999999999996,valid
194,17,32,1.76,-1.98,0.011,-0.001,-0.001,3.3409999999999993,5.2620000000000005,18.669,42.007999999999996,valid
195,17,33,9.16,-1.28,0.03,0.0,-0.002,0.6709999999999994,4.011999999999999,19.598999999999997,43.128,valid
196,17,34,15.26,-0.5,0.052,0.014,0.001,1.971,2.6419999999999995,19.959,44.298,valid
197,17,35,23.15,0.02,0.082,0.02,-0.003,0.18100000000000094,2.152000000000001,21.259,46.397999999999996,valid
198,17,36,29.64,0.49,0.093,0.012,-0.006,1.5809999999999977,1.7619999999999987,21.609,47.998000000000005,valid
199,17,38,45.05,1.26,0.122,0.008,-0.005,1.0910000000000029,0.7320000000000029,23.039,51.078,valid
200,18,15,-8.14,-1.31,0.063,-0.001,0.0,14.521,35.632000000000005,2.939,4.248000000000001,valid
